epoch,loss,acc,val_loss,val_acc
1,1.1208,0.6375,0.662,0.6452
2,0.6648,0.612,0.6279,0.6452
3,0.6446,0.6589,0.6265,0.6452
4,0.6256,0.655,0.655,0.6452
5,0.5702,0.6993,0.6136,0.6452
6,0.6096,0.6951,0.6162,0.6613
7,0.5359,0.7089,0.6414,0.6613
8,0.6025,0.6979,0.6011,0.6774
9,0.5167,0.7702,0.7225,0.6613
10,0.5414,0.7465,0.6514,0.6774
11,0.4832,0.789,0.6582,0.629
12,0.4729,0.7855,0.6746,0.6774
13,0.4201,0.8008,0.8519,0.5968
14,0.4145,0.8076,0.6989,0.6613
15,0.3688,0.8306,0.7425,0.6452
16,0.3458,0.8485,0.7077,0.6613
17,0.2987,0.8896,0.8519,0.5806
18,0.2639,0.8938,1.0322,0.6774
19,0.2777,0.8889,0.9424,0.6452
20,0.2185,0.9264,1.0381,0.6935
21,0.1886,0.934,1.1238,0.7258
22,0.1423,0.9486,0.9507,0.6774
23,0.1737,0.9347,1.0667,0.7258
24,0.119,0.9493,1.0446,0.6935
25,0.1045,0.9702,1.1042,0.6129
26,0.113,0.9562,1.3282,0.7258
27,0.0922,0.966,1.4693,0.6774
28,0.0817,0.9674,1.4265,0.7097
29,0.0847,0.9812,1.5102,0.6774
30,0.079,0.9681,1.6103,0.6935
31,0.0521,0.9771,1.8971,0.5968
32,0.0562,0.9806,1.6846,0.6935
33,0.0704,0.9792,1.8374,0.7097
34,0.0993,0.9666,1.4888,0.6452
35,0.0347,0.9917,1.3479,0.6774
36,0.0254,0.991,1.4567,0.6452
37,0.0402,0.9791,2.0455,0.7419
38,0.0363,0.9848,1.5245,0.7097
39,0.0213,0.9958,2.1302,0.6935
40,0.0344,0.9854,1.726,0.6935
41,0.0192,0.9958,1.8818,0.7097
42,0.03,0.9896,2.1108,0.6774
43,0.0181,0.9917,1.7729,0.7419
44,0.0572,0.9812,1.7576,0.6935
45,0.0244,0.9917,1.955,0.7097
46,0.0339,0.9875,1.9591,0.6774
47,0.0164,0.9937,2.1846,0.6613
48,0.021,0.9917,2.5145,0.7097
49,0.0227,0.9875,2.1709,0.5806
50,0.0651,0.9812,1.6696,0.6452
51,0.0347,0.9854,1.8424,0.6613
52,0.0371,0.9889,1.918,0.7258
53,0.0148,0.9937,2.2848,0.7419
54,0.0145,0.9958,2.159,0.7258
55,0.0328,0.9833,1.7317,0.7258
56,0.0241,0.9875,1.8636,0.7097
57,0.0253,0.9917,2.1314,0.7258
58,0.009,0.9917,2.389,0.7258
59,0.0138,0.9952,2.1602,0.7097
60,0.028,0.9917,1.9335,0.7258
61,0.0057,0.9979,2.4849,0.6613
62,0.022,0.9917,2.2712,0.7258
63,0.032,0.9958,2.5461,0.5645
64,0.0287,0.991,3.2989,0.6774
65,0.0177,0.9917,2.2372,0.6613
66,0.0216,0.9937,2.839,0.6935
67,0.0085,0.9979,2.2287,0.7258
68,0.0542,0.9868,2.4033,0.629
69,0.0161,0.9937,2.2703,0.6613
70,0.0087,0.9958,2.1878,0.6774
71,0.0018,1,2.9363,0.7097
72,9.30E-04,1,2.5794,0.7258
73,0.0909,0.9729,2.6932,0.7581
74,0.0097,0.9979,2.2701,0.7258
75,0.0071,0.9958,2.9093,0.7258
76,0.0183,0.9917,2.8938,0.6935
77,0.007,0.9979,2.4375,0.7097
78,0.0178,0.991,2.1908,0.7097
79,0.0419,0.9883,1.818,0.7097
80,0.0065,0.9973,1.7942,0.7097
81,0.0109,0.9958,1.9263,0.7097
82,0.0026,0.9979,2.3333,0.7258
83,0.0102,0.9958,3.2034,0.6774
84,0.0103,0.9958,2.8149,0.629
85,0.0059,0.9979,2.5416,0.6452
86,0.0202,0.9979,2.5182,0.6774
87,0.0072,0.9979,2.5405,0.7097
88,0.0056,0.9979,2.2083,0.7097
89,0.069,0.9716,2.5376,0.7258
90,0.0109,0.9937,2.2322,0.7097
91,0.0165,0.9958,2.1935,0.6935
92,0.0015,1,2.6093,0.7097
93,0.0413,0.9937,2.1954,0.7258
94,0.0088,0.9979,2.3906,0.6935
95,0.0072,0.9979,2.1361,0.6935
96,0.0153,0.9917,2.4454,0.7258
97,0.0205,0.9958,1.8536,0.7258
98,0.0062,1,2.512,0.6452
99,0.0028,1,2.3019,0.7258
100,6.85E-04,1,2.0576,0.7581